
Ciclo,Codigo,Curso,Creditos,HT,HP,HL,TH,
1,101,DIBUJO ASISTIDO POR COMPUTADORA,3,1,0,4,5,
1,102,MECÁNICA,4,2,2,2,6,
1,103,QUÍMICA GENERAL,4,3,0,2,5,
1,104,ANÁLISIS MATEMÁTICO,4,3,2,0,5,
1,105,INTRODUCCIÓN A LA INGENIERÍA INFORMÁTICA,3,2,2,0,4,
1,106,LENGUA CASTELLANA,2.5,2,1,0,3,
1,107,NTACs NUEVAS TECNOLOGÍAS DE APRENDIZAJE,2.5,2,1,0,3,
2,151,FUNDAMENTOS Y METODOLOGÍA DE LA PROGRAMACIÓN,3,1,0,4,5,
2,152,MECÁNICA DE FLUIDOS,4,2,2,2,6,
2,153,ÁLGEBRA LINEAL,4,3,2,0,5,
2,154,CÁLCULO DIFERENCIAL E INTEGRAL,4,3,2,0,5,
2,155,BIOLOGÍA GENERAL,3,2,0,2,4,
2,156,COMPRENSIÓN Y REDACCIÓN DE TEXTOS,3,2,2,0,4,
2,157,INGLÉS I,2,2,0,0,2,
3,201,PROGRAMACIÓN ORIENTADA A OBJETOS,4,2,0,4,6,
3,202,GESTIÓN DE DATOS I,4,2,0,4,6,
3,203,ESTADISTICA DESCRIPTIVA,3,2,2,0,4,
3,204,ECUACIONES DIFERENCIALES,4,3,2,0,5,
3,205,CIRCUITOS DIGITALES,3,2,0,2,4,
3,206,LOGICA MATEMATICA,3,3,0,0,3,
3,207,INGLÉS II,3,2,2,0,4,
4,251,ESTRUCTURA DE DATOS CON POO,4,2,0,4,6,
4,252,GESTIÓN DE DATOS II,4,2,0,4,6,
4,253,ESTADISTICA INFERENCIAL,3,2,2,0,4,
4,254,CÁLCULO NÚMERICO,4,3,2,0,5,
4,255,METODOLOGÍA DE LA INVESTIGACIÓN,2,2,0,0,2,
4,256,FILOSOFÍA CIENCIA Y TECNOLOGÍA,2,2,0,0,2,
4,257,INGLÉS III,3,2,2,0,4,
5,301,TALLER DE DESARROLLO DE SOFTWARE I,4,1,0,6,7,
5,302,FUNDAMENTOS DE SISTEMAS DE INFORMACIÓN,3,2,2,0,4,
5,303,CRIPTOGRAFÍA I,4,2,0,4,6,
5,304,TALLER DE PROCESAMIENTO DISTRIBUIDO,4,1,0,6,7,
5,305,TALLER DE INNOVACIÓN TECNOLÓGICA,3,1,0,4,5,
5,306,ÉTICA RESPONSABILIDAD SOCIAL Y AMBIENTAL,4,3,2,0,5,
6,351,TALLER DE DESARROLLO DE SOFTWARE II,4,1,0,6,7,
6,352,PLANEAMIENTO ESTRATEGICO EMPRESARIAL,3,2,2,0,4,
6,353,CRIPTOGRAFÍA II,4,2,0,4,6,
6,354,INFRAESTRUCTURA DE REDES CORPORATIVAS,4,3,2,0,5,
6,355,CONECTIVIDAD DE REDES,3,1,0,4,5,
6,356,REALIDAD NACIONAL E INTERNACIONAL,2,2,0,0,2,
7,401,INGENIERIA DE SOFTWARE,5,3,0,4,7,
7,402,PLANEAMIENTO DE TECNOLOGIAS DE INFORMACION,3,2,2,0,4,
7,403,SEGURIDAD DE LA INFORMACION,3.5,2,3,0,5,
7,404,ADMINISTRACION DE SERVICIOS DE RED,3.5,2,3,0,5,
7,405,SISTEMAS OPERATIVOS,3,2,2,0,4,
7,406,TALLERES DE ARTES,2,0,4,0,4,
8,451,EVALUACION DE CALIDAD DE SOFTWARE,3,2,2,0,4,
8,452,FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS,3,2,2,0,4,
8,453,AUDITORIA Y SEGURIDAD DE LA INFORMACION,3,2,2,0,4,
8,454,TALLER DE REDES DE VOZ Y VIDEO,3,1,0,4,5,
8,455,SISTEMAS INTELIGENTES,4,2,0,4,6,
8,456,EMPRENDIMIENTO E INNOVACION,4,3,2,0,5,
8,457,REDES NEURONALES (e),3,2,0,2,4,
9,501,DESARROLLO DE APLICACIONES WEB,5,2,0,6,8,
9,502,GERENCIA DE TECNOLOGIAS DE INFORMACION,3,2,2,0,4,
9,503,DERECHO INFORMATICO,3,3,0,0,3,
9,504,CLOUD COMPUTING (IN ENGLISH),4,2,0,4,6,
9,505,PROYECTO DE TESIS I,5,4,2,0,6,
9,506,DEONTOLOGIA PROFESIONAL Y DISCAPACIDAD,2,2,0,0,2,
9,507,INTELIGENCIA DE NEGOCIOS (e),3,2,2,0,4,
10,551,DEVELOPMENT OF MOBILE APPLICATIONS (IN ENGLISH),4,2,0,4,6,
10,552,GESTION DEL CONOCIMIENTO,3,2,0,2,4,
10,553,INFORMATICA FORENCE Y DELITOS INFORMATICOS,4,3,0,2,5,
10,554,ETHICAL HACKING (IN ENGLISH),5,2,0,6,8,
10,555,PROYECTO DE TESIS II,5,4,2,0,6,
10,556,PRACTICAS PRE PROFESIONALES,8,0,16,0,16,
